protocol,chain,field_role,candidate_address,confirmed_safe,owner_count,block_height,check_date
Puffer,ethereum-mainnet,Community_Multisig,0x446d4d6b26815f9bA78B5D454E303315D586Cb2a,true,6,,
Puffer,ethereum-mainnet,Pauser_Multisig,0x1ba8e3aA853F73ae8093E26B7B8F2520c3620Df4,true,9,,
Puffer,ethereum-mainnet,Operations_Multisig,0xC0896ab1A8cae8c2C1d27d011eb955Cca955580d,true,6,,
Ethena,ethereum-mainnet,Owner_Multisig_3of11,0x71e4f98e8f20c88112489de3dded4489802a3a87,true,10,,
Ethena,ethereum-mainnet,USDe_Distributor_4of10,0x2b5ab59163a6e93b4486f6055d33ca4a115dd4d5,true,10,,
Ethena,ethereum-mainnet,Dev_Multisig_Owner_of_Deployed_Contracts_5of10,0x3b0aaf6e6fcd4a7ceef8c92c32dfea9e64dc1862,true,10,,
Ethena,ethereum-mainnet,USDtb_PSM_Governor_TimelockController_24h_confirmed_DevMultisig_roles,0xE8Dc0Fab349EA169283C48Ccfd09d797E6DB7c94,false,,,
SushiSwap,ethereum-mainnet,Operation_Multisig,0x19b3eb3af5d93b77a5619b047de0eed7115a19e7,true,5,,
Stargate,ethereum-mainnet,Multisig,0x65bb797c2b9830d891d87288f029ed8dacc19705,true,5,,
Angle,ethereum-mainnet,Management_Multisig,0x529619a10129396a2F642cae32099C1eA7FA2834,true,6,,
Origin,ethereum-mainnet,Governor_5of8,0xbe2AB3d3d8F6a32b96414ebbd865dBD276d3d899,true,8,,
Origin,ethereum-mainnet,Strategist_2of9,0xF14BBdf064E3F67f51cd9BD646aE3716aD938FDC,true,8,,
Origin,ethereum-mainnet,Vault_Governor_TimelockController_48h,0x35918cDE7233F2dD33fA41ae3Cb6aE0e42E0e69F,false,,,
Compound,ethereum-mainnet,pauseGuardian,0xbbf3f1421d886e9b2c5d716b5192ac998af2012c,true,9,,
Compound,ethereum-mainnet,governor,0x6d903f6003cca6255d85cca4d3b5e5146dc33925,false,,,
Notional,ethereum-mainnet,Treasury,0x22341fB5D92D3d801144aA5A925F401A91418A05,true,5,,
Notional,ethereum-mainnet,Guardian_Multisig_2of7,0xD9D5a9dc6a952b7aD6B05a983b399537B7c0Ee88,true,7,,
Gearbox,ethereum-mainnet,Technical_Multisig,0xA7D5DDc1b8557914F158076b228AA91eF613f1D5,true,12,,
Gearbox,ethereum-mainnet,Treasury_Guard,0x7b065Fcb0760dF0CEA8CFd144e08554F3CeA73D1,true,10,,
Alchemix,ethereum-mainnet,Timelock_24h_Multisig,0x8392f6669292fa56123f71949b52d883ae57e225,true,7,,
Alchemix,ethereum-mainnet,Developer_Multisig,0x9e2b6378ee8ad2a4a95fe481d63caba8fb0ebbf9,true,7,,
Abracadabra,ethereum-mainnet,Multisig,0x5f0dee98360d8200b20812e174d139a1a633edd2,true,11,,
Sky_MakerDAO,ethereum-mainnet,MCD_Pause_Proxy,0xbe8e3e3618f7474f8cb1d074a26affef007e98fb,false,,,
Sky_MakerDAO,ethereum-mainnet,Accessibility_Facilitators,0x14D98650d46BF7679BBD05D4f615A1547C87Bf68,true,2,,
dForce,ethereum-mainnet,Multisig,0x145c79A1F0e1Ad5ad7fC8d99548a02A07B24F8FD,true,5,,
Ribbon_Aevo,ethereum-mainnet,Multisig,0xdaeada3d210d2f45874724beea03c7d4bbd41674,true,9,,
Yearn,ethereum-mainnet,ychad_Multisig,0xFEB4acf3df3cDEA7399794D0869ef76A6EfAff52,true,9,,
IndexCoop,ethereum-mainnet,Treasury,0x9467cfADC9DE245010dF95Ec6a585A506A8ad5FC,true,4,,
IndexCoop,ethereum-mainnet,Ownership,0x236815b32b50cc80F5C6348396b1A9B09Fd3E7f7,true,4,,
IndexCoop,ethereum-mainnet,Investment,0x462A63D4405A6462b157341A78Fd1baBfD3F8065,true,4,,
IndexCoop,ethereum-mainnet,Operations,0xFafd604d1CC8b6B3B6CC859cF80Fd902972371C1,true,5,,
StakeDAO,ethereum-mainnet,Treasury_Ethereum,0xf930ebbd05ef8b25b1797b9b2109ddc9b0d43063,true,5,,
StakeDAO,ethereum-mainnet,Treasury_Legacy,0x9d75c85f864ab9149e23f27c35addae09b9b909c,false,,,
StakeDAO,ethereum-mainnet,Foundation,0x40b4b1a259d48d96f08f099deb07efad31a2eb2a,true,3,,
Ondo,ethereum-mainnet,Management_Multisig,0xaed4caf2e535d964165b4392342f71bac77e8367,true,7,,
Goldfinch,ethereum-mainnet,Governance_Multisig,0xBEb28978B2c755155f20fd3d09Cb37e300A6981f,true,12,,
Spark,ethereum-mainnet,Freezer_Multisig,0x44efFc473e81632B12486866AA1678edbb7BEeC3,true,5,,
Spark,ethereum-mainnet,ALM_Ops_Multisig,0x2E1b01adABB8D4981863394bEa23a1263CBaeDfC,true,5,,
Spark,ethereum-mainnet,ALM_Ops_Multisig_2,0x797B010E0BABb493b8DEDD6F6ce5cc72778C2BF3,true,5,,
Spark,ethereum-mainnet,ALM_Relayer_Multisig,0x8a25A24EDE9482C4Fc0738F99611BE58F1c839AB,true,2,,
Spark,ethereum-mainnet,Morpho_Curator_Multisig,0x0f963A8A8c01042B69054e787E5763ABbB0646A3,true,5,,
Spark,ethereum-mainnet,Morpho_Guardian_Multisig,0xf5748bBeFa17505b2F7222B23ae11584932C908B,true,5,,
Spark,ethereum-mainnet,Spark_Rewards_Multisig,0xF649956f43825d4d7295a50EDdBe1EDC814A3a83,true,3,,
Spark,ethereum-mainnet,SparkLend_Rewards_Multisig,0x8076807464DaC94Ac8Aa1f7aF31b58F73bD88A27,true,3,,
Spark,ethereum-mainnet,SPK_Bridging_Staking_Multisig,0x7a27a9f2A823190140cfb4027f4fBbfA438bac79,true,7,,
Spark,ethereum-mainnet,Spark_Asset_Foundation_Multisig,0xEabCb8C0346Ac072437362f1692706BA5768A911,true,3,,
Spark,ethereum-mainnet,Spark_Foundation_Multisig,0x92e4629a4510AF5819d7D1601464C233599fF5ec,true,5,,
Spark,ethereum-mainnet,Spark_Long_Term_Treasury_Multisig,0x46dce51a3f4cbEa91F3A1BBD48Ca5079397d5847,true,5,,
Spark,ethereum-mainnet,Spark_Mid_Term_Treasury_Multisig,0x089693eD9d9a5AC907Bd1a1565867646FFaabCd6,true,5,,
Spark,ethereum-mainnet,SPK_Company_Multisig,0x6FE588FDCC6A34207485cc6e47673F59cCEDF92B,true,7,,
Spark,ethereum-mainnet,SPK_Vest_Multisig,0xEFF097C5CC7F63e9537188FE381D1360158c1511,true,5,,
Spark,ethereum-mainnet,ALM_Backstop_Relayer_Multisig,0x8Cc0Cb0cfB6B7e548cfd395B833c05C346534795,true,5,,
Spark,ethereum-mainnet,ALM_Freezer_Multisig,0x90D8c80C028B4C09C0d8dcAab9bbB057F0513431,true,4,,
Spark,ethereum-mainnet,Pause_Proxy_NonSafe,0xBE8E3e3618f7474F8cB1d074A26afFef007E98FB,false,,,
AaveTokenLogic,ethereum-mainnet,TokenLogic_Safe,0x2cc1ade245020fc5aae66ad443e1f66e01c54df1,true,6,,
Sonne,ethereum-mainnet,Multisig,0x814ae3e7Bc6B20b4Da64b76A7E66BCa0993F22A8,false,,,
AladdinDAO,ethereum-mainnet,Concentrator_Treasury,0xA0FB1b11ccA5871fb0225B64308e249B97804E99,true,9,,
RedactedCartel,ethereum-mainnet,DAO_Multisig,0xA52Fd396891E7A74b641a2Cb1A6999Fcf56B077e,true,7,,
Votium,ethereum-mainnet,Multisig,0xe39b8617D571CEe5e75e1EC6B2bb40DdC8CF6Fa3,true,3,,
Cream,ethereum-mainnet,Multisig,0x6d5a7597896a703fe8c85775b23395a48f971305,true,4,,
StakeWise,ethereum-mainnet,DAO_Treasury,0x144a98cb1CdBb23610501fE6108858D9B7D24934,true,7,,
Prisma,ethereum-mainnet,Emergency_Multisig,0x7A28A80DcE1733944Db5dC50dc2c5147eC993C5A,true,9,,
NexusMutual,ethereum-mainnet,DAO_Safe,0x57d2D86d32497bC4AEd3b603A391db50c10D7fA1,true,5,,
NexusMutual,ethereum-mainnet,Community_Staking_Pool_Safe,0xFA7E852Ceb3F7d0f1AC02F3b8AFCa95e6DcBdb3C,true,4,,
Bancor,ethereum-mainnet,DAO_Multisig,0x5894110995b8c8401bd38262ba0c8ee41d4e4658,true,4,,
KyberSwap,ethereum-mainnet,DAO_Multisig_Treasury,0x91c9D4373B077eF8082F468C7c97f2c499e36F5b,true,3,,
KyberSwap,ethereum-mainnet,Kyber_Multisig,0x3EB01B3391EA15CE752d01Cf3D3F09deC596F650,true,5,,
Dopex,ethereum-mainnet,Multisig,0xb8689b7910954BF73431f63482D7dd155537ea7E,true,5,,
ENS,ethereum-mainnet,DAO_Multisig,0x911143d946ba5d467bfc476491fdb235fef4d667,true,7,,
Convex,ethereum-mainnet,Convex_Multisig,0xa3C5A1e09150B75ff251c1a7815A07182c3de2FB,true,5,,
Frax,ethereum-mainnet,frxETH_Comptroller,0x8306300ffd616049FD7e4b0354a64Da835c1A81C,true,7,,
Frax,ethereum-mainnet,FRAX_Comptroller,0x168200cF227D4543302686124ac28aE0eaf2cA0B,true,6,,
Euler,ethereum-mainnet,DAO_Treasury,0xcAD001c30E96765aC90307669d578219D4fb1DCe,true,8,,
Euler,ethereum-mainnet,Labs_Safe,0xB1345E7A4D35FB3E6bF22A32B3741Ae74E5Fba27,true,6,,
Euler,ethereum-mainnet,SecurityCouncil_Safe,0xb3b84e8320250Afe7a5fb313Ee32B52982b73c53,true,3,,
Euler,ethereum-mainnet,SecurityPartnerA_Safe,0xd5b7bC743a94978d9fE6cAcED3F09Bc194cBd471,true,3,,
Euler,ethereum-mainnet,SecurityPartnerB_Safe,0x62962b4d506b0065a133f37e19D163E5b002b655,true,3,,
Morpho,ethereum-mainnet,Governance_Multisig,0xcBa28b38103307Ec8dA98377ffF9816C164f9AFa,true,9,,
Curve,ethereum-mainnet,Ownership_Agent,0x40907540d8a6c65c637785e8f8b742ae6b0b9968,false,,,
Curve,ethereum-mainnet,Parameter_Agent,0x4eeb3ba4f221ca16ed4a0cc7254e2e32df948c5f,false,,,
Curve,ethereum-mainnet,Emergency_Agent,0x00669DF67E4827FCc0E48A1838a8d5AB79281909,false,,,
Curve,ethereum-mainnet,Emergency_DAO_Safe,0x467947EE34aF926cF1DCac093870f613C96B1E0c,true,9,,
Curve,ethereum-mainnet,Emergency_DAO_Crosschain_Replica,0x6d447e544D01a59cb0774763bf15526574CffFeD,true,9,,
EigenLayer,ethereum-mainnet,Pauser_Multisig,0x5050389572f2d220ad927CcbeA0D406831012390,true,7,,
EigenLayer,ethereum-mainnet,Community_Multisig,0xFEA47018D632A77bA579846c840d5706705Dc598,true,13,,
EigenLayer,ethereum-mainnet,Executor_Multisig,0x369e6F597e22EaB55fFb173C6d9cD234BD699111,true,2,,
EigenLayer,ethereum-mainnet,Operations_Multisig,0xBE1685C81aA44FF9FB319dD389addd9374383e90,true,6,,
EigenLayer,ethereum-mainnet,Protocol_Council_Multisig,0x461854d84ee845f905e0ecf6c288ddeeb4a9533f,true,5,,
EigenLayer,ethereum-mainnet,Foundation_Multisig,0xbb00DDa2832850a43840A3A86515E3Fe226865F2,true,6,,
Fluid_Instadapp,ethereum-mainnet,TEAM_MULTISIG,0x4F6F977aCDD1177DCD81aB83074855EcB9C2D49e,false,,,
Fluid_Instadapp,ethereum-mainnet,TEAM_MULTISIG2,0x1e2e1aeD876f67Fe4Fd54090FD7B8F57Ce234219,false,,,
Maple_Finance,ethereum-mainnet,daoMultisig,0xd6d4Bcde6c816F17889f1Dd3000aF0261B03a196,true,7,,
Maple_Finance,ethereum-mainnet,governor,0x2eFFf88747EB5a3FF00d4d8d0f0800E306C0426b,false,,,
Maple_Finance,ethereum-mainnet,securityAdmin,0x6b1A78C1943b03086F7Ee53360f9b0672bD60818,true,6,,
Maple_Finance,ethereum-mainnet,operationalAdmin,0xCe1cE7c7F436DCc4E28Bc8bf86115514d3DC34E8,true,5,,
Maple_Finance,ethereum-mainnet,globalAdmin,0x0D8b2C1F11c5f9cD51de6dB3b256C1e3b0800200,true,3,,
Maple_Finance,ethereum-mainnet,permissionsAdmin,0x54b130c704919320E17F4F1Ffa4832A91AB29Dca,false,,,
Pendle_Finance,ethereum-mainnet,governance,0x8119EC16F0573B7dAc7C0CB94EB504FB32456ee1,true,5,,
Pendle_Finance,ethereum-mainnet,devMultisig,0xE6F0489ED91dc27f40f9dbe8f81fccbFC16b9cb1,true,6,,
Pendle_Finance,ethereum-mainnet,timelockController,0x68d8D192dF476bC01895E16b0ED3945673d777AC,false,,,
Liquity_V2,ethereum-mainnet,governance_interestRouter,0x636deb767cd7d0f15ca4ab8ea9a9b26e98b426ac,false,,,
Uniswap,ethereum-mainnet,Timelock,0x1a9C8182C09F50C8318d769245beA52c32BE35BC,false,,,
Silo_Finance_Mainnet,ethereum-mainnet,Factory_Owner,0xE8e8041cB5E3158A0829A19E014CA1cf91098554,true,4,,
Aura,ethereum-mainnet,daoMultisig,0x5feA4413E3Cc5Cf3A29a49dB41ac0c24850417a0,true,7,,
Aura,ethereum-mainnet,treasuryMultisig,0xfc78f8e1Af80A3bF5A1783BB59eD2d1b10f78cA9,true,7,,
Aura,ethereum-mainnet,sudoMultisig,0xb370Ebd7ded0c87b4509FF6f13F07B7F1693Bf46,true,13,,
Aura,ethereum-mainnet,vestingMultisig,0xab9ff9Fbc44Bb889751c4E70AD2F6977267A1E09,true,3,,
Aura,ethereum-mainnet,incentivesMultisig,0x21AED3a7A1c34Cd88B8A39DbDAE042bEfbf947ff,true,3,,
EtherFi,ethereum-mainnet,CONTROLLER_SAFE,0x2aCA71020De61bb532008049e1Bd41E451aE8AdC,true,7,,
OneInch,ethereum-mainnet,Router_V6_Owner,0x9F8102b1bB05785BaD2874f2C7B1aaea4c6D976a,true,5,,
OneInch,ethereum-mainnet,DAO_Treasury_7of12,0x7951c7ef839e26F63DA87a42C9a87986507f1c07,true,12,,
OneInch,ethereum-mainnet,Operations_Fund_3of4,0x45e84e10e8E85c583C002A40007D10629EF80fAF,true,5,,
RocketPool,ethereum-mainnet,Guardian,0x0cCF14983364A7735d369879603930Afe10df21e,false,,,
CoWProtocol,ethereum-mainnet,AllowListAuthentication_Owner,0xcA771eda0c70aA7d053aB1B25004559B918FE662,true,5,,
ThresholdNetwork,ethereum-mainnet,Council_Multisig,0x9F6e831c8F8939DC0C830C6e492e7cEf4f9C2F5f,true,9,,
API3,ethereum-mainnet,Manager_Multisig,0x2AAE699ed04BBbD068f67a5b3C813eBB35f2c9E8,true,8,,
Symbiotic,ethereum-mainnet,VaultFactory_Owner,0x5721ce64Ee0D772Ce613b62D411350091C544cD0,true,3,,
Symbiotic,ethereum-mainnet,AdapterRegistry_Owner,0xf6BB2e64Bd201A862f2Fe5461fc7Ef01e2040b6A,true,5,,
Odos,ethereum-mainnet,Router_V3_Owner_Safe,0x498292DC123f19Bdbc109081f6CF1D0E849A9daF,true,6,,
deBridge,ethereum-mainnet,Admin_Multisig,0x6bec1faF33183e1Bc316984202eCc09d46AC92D5,true,8,,
ParaSwapVelora,ethereum-mainnet,AugustusSwapper_Admin,0x36fEDC70feC3B77CAaf50E6C524FD7e5DFBD629A,true,12,,
BeefyFinance,ethereum-mainnet,devMultisig,0x34fEf5DA92c59d6aC21d0A75ce90B351D0Fb6CE6,true,6,,
BeefyFinance,ethereum-mainnet,treasuryMultisig,0xc9C61194682a3A5f56BF9Cd5B59EE63028aB6041,true,7,,
Hyperlane,ethereum-mainnet,Mailbox_ProxyAdmin_Owner_Safe,0x562Dfaac27A84be6C96273F5c9594DA1681C0DA7,true,10,,
KelpDAO,ethereum-mainnet,ETH_Mainnet_Manager,0xCbcdd778AA25476F203814214dD3E9b9c46829A1,true,6,,
KelpDAO,ethereum-mainnet,ETH_Mainnet_Admin,0xb9577E83a6d9A6DE35047aa066E3758221FE0DA2,true,6,,
KelpDAO,ethereum-mainnet,ETH_Mainnet_External_Admin,0xb3696a817D01C8623E66D156B6798291fa10a46d,true,11,,
KelpDAO,ethereum-mainnet,ETH_Mainnet_Eigen,0xEe68dF9f661da6ED968Ea4cbF7EC68fcFE375bc6,true,6,,
KelpDAO,ethereum-mainnet,ProtocolTreasury,0x322F2d4bFe8280EeB713B7C51EEbA42590C36f78,true,4,,
KelpDAO,ethereum-mainnet,Pauser,0xb6AbB489aCA4583833230F10B3A7670114D09559,true,5,,
Renzo,ethereum-mainnet,ProxyAdmin_Timelock_Controller_Safe,0xD1e6626310fD54Eceb5b9a51dA2eC329D6D4B68A,true,6,,
Synthetix,ethereum-mainnet,CoreProxy_Owner_Safe,0xEb3107117FEAd7de89Cd14D463D340A2E6917769,true,7,,
ChainlinkDataFeeds_Mainnet,ethereum-mainnet,ETH_USD_Feed_Owner,0x21f73D42Eb58Ba49dDB685dc29D3bF5c0f0373CA,true,9,,
Superfluid,ethereum-mainnet,Governance_Safe,0x06a858185b3B2ABB246128Bb9415D57e5C09aEB6,true,4,,
Term_Finance,ethereum-mainnet,Admin_Role_Safe,0x73d1C7dc9CEb14660Cf1E9BB29F80ECF9E97D774,true,10,,
Term_Finance,ethereum-mainnet,Devops_Role_Safe,0xb8A1dF43c1c88b13937C0c5CEBbAd15830cAeC03,true,9,,
Usual_Money,ethereum-mainnet,RegistryAccess_Admin,0x6e9d65eC80D69b1f508560Bc7aeA5003db1f7FB7,true,15,,
Resolv,ethereum-mainnet,Token_Owner,0xD6889F307BE1b83Bb355d5DA7d4478FB0d2Af547,true,6,,
ZeroExProtocol,ethereum-mainnet,ZeroExGovernor,0x7D3455421BbC5Ed534a83c88FD80387dc8271392,true,4,,
ZeroExProtocol,ethereum-mainnet,ExchangeProxyGovernor,0x618F9C67CE7Bf1a50afa1E7e0238422601b0ff6e,true,4,,
OlympusDAO,ethereum-mainnet,DAO_Multisig,0x245cc372C84B3645Bf0Ffe6538620B04a217988B,true,8,,
OlympusDAO,ethereum-mainnet,Emergency_Multisig,0xa8A6ff2606b24F61AFA986381D8991DFcCCd2D55,true,10,,
OlympusDAO,ethereum-mainnet,TreasuryWorkingGroup_Multisig,0x2075e3b46470cfcE124Daaf52b46Dcf965727Dd1,true,9,,
Centrifuge,ethereum-mainnet,ProtocolAdmin,0x9711730060C73Ee7Fcfe1890e8A0993858a7D225,true,9,,
Centrifuge,ethereum-mainnet,OpsAdmin,0xd21413291444C5c104F1b5918cA0D2f6EC91Ad16,true,7,,
AjnaFinance,ethereum-mainnet,ERC20PoolFactory,0x6146DD43C5622bB6D12A5240ab9CF4de14eDC625,false,,,
IdleFinance,ethereum-mainnet,Treasury_League_Multisig,0xFb3bD022D5DAcF95eE28a6B07825D4Ff9C5b3814,true,6,,
IdleFinance,ethereum-mainnet,Development_League_Multisig,0xe8eA8bAE250028a8709A3841E0Ae1a44820d677b,true,5,,
IdleFinance,ethereum-mainnet,Pauser,0xBaeCba470C229984b75BC860EFe8e97AE082Bb9f,true,4,,
FxProtocol,ethereum-mainnet,FxProxyAdmin_Timelock_3day,0x68863fb8855b04509a835082478D6E3D0bE4E61a,false,,,
FxProtocol,ethereum-mainnet,FxProxyAdmin_Timelock_Admin_Safe,0x26B2ec4E02ebe2F54583af25b647b1D619e67BbF,true,9,,
FxProtocol,ethereum-mainnet,CustomProxyAdmin_Owner_EOA,0xa1d0027Ca4C0CB79f9403d06A29470abC7b0a468,false,,,
SwellNetwork,ethereum-mainnet,swETH_rswETH_Shared_Timelock,0xbA829003e6b5dD858fbed3945719939a6DC3073b,false,,,
SwellNetwork,ethereum-mainnet,Timelock_Admin_Safe,0x20fDF47509C5eFC0e1101e3CE443691781C17F90,true,7,,
AcrossProtocol,ethereum-mainnet,HubPool_Owner_Safe,0xB524735356985D2f267FA010D681f061DfF03715,true,5,,
MellowProtocol,ethereum-mainnet,strETH_ActiveAdmin,0xeb1CaFBcC8923eCbc243ff251C385C201A6c734a,true,8,,
MellowProtocol,ethereum-mainnet,strETH_LazyAdmin,0xAbE20D266Ae54b9Ae30492dEa6B6407bF18fEeb5,true,8,,
BlurBlend,ethereum-mainnet,Blend_Owner,0xFA9fB502534761dBDDAcf5B7e2Aa84684815F1bb,true,5,,
LayerZero,ethereum-mainnet,EndpointV2_Owner_OneSig,0xBe010A7e3686FdF65E93344ab664D065A0B02478,false,,,
Elixir_deUSD,ethereum-mainnet,deUSD_deUSDMinting_stdeUSD_Shared_Owner,0xD7CDBde6C9DA34fcB2917390B491193b54C24f24,true,5,,
LevelMoney,ethereum-mainnet,Admin_Timelock_3day,0x0798880E772009DDf6eF062F2Ef32c738119d086,false,,,
LevelMoney,ethereum-mainnet,Admin_Multisig,0x343ACce723339D5A417411D8Ff57fde8886E91dc,true,6,,
LevelMoney,ethereum-mainnet,Operator_Multisig,0xcEa14C3e9Afc5822d44ADe8d006fCFBAb60f7a21,true,5,,
LevelMoney,ethereum-mainnet,Protocol_Treasury_Multisig,0xDf95bb71581B224BD42eB19ceaff5E92816e181E,true,4,,
Resupply,ethereum-mainnet,Main_Multisig,0xFE11a5009f2121622271e7dd0FD470264e076af6,true,5,,
YieldBasis,ethereum-mainnet,CoreFactory_Admin,0xb8BA33CD1Ccb091a8468572950bD3669723FA5C6,false,,,
HopProtocol,ethereum-mainnet,Community_Multisig,0x60224984338DeDe521C56DEE7a09e446A5a163f4,true,5,,
HopProtocol,ethereum-mainnet,Grant_Committee_Multisig,0x1ECC9Ee9980348a2373c1F2EFbfDF520a389f35C,true,3,,
HopProtocol,ethereum-mainnet,Governor,0xed8Bdb5895B8B7f9Fdb3C087628FD8410E853D48,false,,,
HopProtocol,ethereum-mainnet,Timelock,0xeeA8422a08258e73c139Fc32a25e10410c14bd7a,false,,,
Connext,ethereum-mainnet,Connext_Core_Owner_Safe,0x4d50a469fc788a3c0CdC8Fd67868877dCb246625,true,9,,
VenusProtocol,ethereum-mainnet,Guardian,0x285960C5B22fD66A736C7136967A3eB15e93CC67,true,7,,
VenusProtocol,ethereum-mainnet,AccessControlManager,0x230058da2D23eb8836EC5DB7037ef7250c56E25E,false,,,
VenusProtocol,ethereum-mainnet,Normal_Timelock,0xd969E79406c35E80750aAae061D402Aab9325714,false,,,
TrueFi,ethereum-mainnet,Owner_Safe,0x16cEa306506c387713C70b9C1205fd5aC997E78E,true,3,,
TrueFi,ethereum-mainnet,Credit_Safe,0x11B03b01Bdd76E59825bC00Be255E4311533CBAd,true,3,,
TrueFi,ethereum-mainnet,TRU_Distributor_Safe,0x4A10ab6Af3A7d1FEa49aADc99059d581B3fba7E7,true,4,,
TrueFi,ethereum-mainnet,TRU_Purchaser_Safe,0xe0ef5Ecc2E439FB69eAc5146618e8295b4dD233a,true,3,,
TrueFi,ethereum-mainnet,Config_Safe,0xf0aE09d3ABdF3641e2eB4cD45cf56873296a02CB,true,3,,
FalconFinance,ethereum-mainnet,USDf_sUSDf_Shared_DefaultAdmin_Safe,0x1E482B60bf19Cb1cc859389e0eA3DED153f16Bd7,true,6,,
AmbientFinance,ethereum-mainnet,Treasury_Multisig,0xDBD8D583a18C99e7f5191351E6E739AF8e62DaC3,true,4,,
AmbientFinance,ethereum-mainnet,Treasury_Timelock,0x7237C120FCA2081f1A36AB933B065389174962B7,false,,,
AmbientFinance,ethereum-mainnet,Ops_Multisig,0x9fACdcfb3b58D85d0440aF292D64480Ad2503A6e,true,3,,
AmbientFinance,ethereum-mainnet,Ops_Timelock,0x41114A13230625A2735FaA7183e528Ed2538cB7b,false,,,
EnzymeFinance,ethereum-mainnet,Dispatcher_Owner_Safe,0xb270FE91e8E4b80452fBF1b4704208792A350f53,true,5,,
MaverickProtocol,ethereum-mainnet,FactoryV1_Owner_Safe,0xA2206fe97eE8d2E689EFB96aE03be5F50BFAD027,true,6,,
Clearpool,ethereum-mainnet,Initial_Multisig_Mint_Recipient,0xE0308d5681afe01A8Ad1cC0b8c937Db699E204aF,true,4,,
TheGraph,ethereum-mainnet,Council_via_Controller_governor,0x48301Fe520f72994d32eAd72E2B6A8447873CF50,true,7,,
Flux_Finance,ethereum-mainnet,PauseGuardian,0x118919e891D0205A7492650AD32E727617FA9452,true,5,,
Sommelier_Finance,ethereum-mainnet,Operations_Multisig,0x7340D1FeCD4B64A4ac34f826B21c945d44d7407F,true,7,,
Beanstalk,ethereum-mainnet,Community_Multisig_BCM,0xa9bA2C40b263843C04d344727b954A545c81D043,true,9,,
Beanstalk,ethereum-mainnet,Farms_Multisig_BFM,0x21DE18B6A8f78eDe6D16C50A167f6B222DC08DF7,true,7,,
Gyroscope_Protocol,ethereum-mainnet,GyroConfigManager_GovernanceRoleManager_Owner_Safe,0x2d9FaF0b633FF6c4170E171dAe80909f3D03453C,true,5,,
M0_Protocol,ethereum-mainnet,StandardGovernor,0xB024aC5a7c6bC92fbACc8C3387E628a07e1Da016,false,,,
M0_Protocol,ethereum-mainnet,EmergencyGovernor,0x886d405949F709bC3f4451491bDd07ff51Cdf90A,false,,,
M0_Protocol,ethereum-mainnet,ZeroGovernor,0xa0DAFaEEA4A1d44534e1b9227e19CAE6358b80FE,false,,,
M0_Protocol,ethereum-mainnet,Registrar,0x119FbeeDD4F4f4298Fb59B720d5654442b81ae2c,false,,,
ReserveProtocol,ethereum-mainnet,eUSD_Guardian_Safe,0x576ca79e46171a2B3E26F13a4334940eBcD72164,true,3,,
SSVNetwork,ethereum-mainnet,Network_Owner_Safe,0xb35096b074fdb9bBac63E3AdaE0Bbde512B2E6b6,true,9,,
StaderLabsETHx,ethereum-mainnet,Admin_Timelock_7j,0x1112D5C55670Cb5144BF36114C20a122908068B9,false,,,
StaderLabsETHx,ethereum-mainnet,Treasury_Safe,0x01422247a1d15BB4FcF91F5A077Cf25BA6460130,true,5,,
